name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Gregorio Perez Companc & family,1027,2900,87,M,Argentina,NA,Buenos Aires,Energy,TRUE,NA,Oil & gas,U,NA,NA,632790000000,146226000000,108.7224121,108.7224121,76.064,45407904,6.805,-38.416097,-63.616672
Sebastian Piñera & family,1027,2900,73,M,Chile,NA,Santiago,Finance & Investments,TRUE,President,Investments,U,158.6250269,16.5437541,302117000000,-13398000000,100.1922684,100.1922684,79.519,19553036,8.249,-35.675147,-71.542969
Arvind Poddar,1027,2900,65,M,India,NA,Mumbai,Automotive,FALSE,NA,Tires,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Alexey Repik,1027,2900,43,M,Russia,NA,Moscow,Healthcare,TRUE,NA,Pharmaceuticals,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Haim Saban,1027,2900,78,M,United States,California,Beverly Hills,Media & Entertainment,TRUE,NA,"TV network, investments",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Rodney Sacks,1027,2900,73,M,United States,California,Laguna Beach,Food & Beverage,TRUE,CEO,Energy drinks,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Karthik Sarma,1027,2900,48,M,United States,New York,New York,Finance & Investments,TRUE,NA,Hedge fund,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Sybill Storz,1027,2900,85,F,Germany,NA,Leipzig,Healthcare,FALSE,NA,Medical devices,D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Daniel Sundheim,1027,2900,46,M,United States,New York,New York,Finance & Investments,TRUE,Investor,Hedge funds,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
"William Wrigley, Jr.",1027,2900,59,M,United States,Florida,North Palm Beach,Food & Beverage,FALSE,Investor,Chewing gum,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Zhang Wenzhong,1027,2900,61,M,China,NA,Beijing,Fashion & Retail,TRUE,NA,Supermarkets,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Zhou Jianping,1027,2900,62,M,China,NA,Jiangyin,Fashion & Retail,TRUE,NA,Fashion retail,E,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Joy Alukkas,1067,2800,66,M,India,NA,Cochin,Fashion & Retail,FALSE,NA,Jewelry,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Kang An,1067,2800,74,M,China,NA,Xinxiang,Healthcare,TRUE,NA,Pharmaceuticals,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Garrett Camp,1067,2800,44,M,United States,California,San Francisco,Technology,TRUE,Cofounder and Chairman,Uber,E,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Chen Lip Keong,1067,2800,75,M,Cambodia,NA,Phnom Penh,Gambling & Casinos,TRUE,NA,"Casinos, property, energy",U,145.217175,7.366338799999994,39994532960,3204369273,109.9590791,109.9590791,69.896,17201724,0.231,12.565679,104.990963
Choo Chong Ngen,1067,2800,69,M,Singapore,NA,Singapore,Real Estate,TRUE,NA,Hotels,U,123.9809781,7.151219600000005,498475000000,64363000000,99.57804108,99.57804108,82.89512195,5637022,3.591,1.352083,103.819836
Euisun Chung,1067,2800,52,M,South Korea,NA,Seoul,Automotive,FALSE,NA,Hyundai,D,124.7095918,6.039719399999996,1673920000000,-144510000000,99.03336334,99.03336334,82.6804878,51672569,2.857,35.907757,127.766922
Smita Crishna-Godrej,1067,2800,72,F,India,NA,Mumbai,Diversified,FALSE,NA,Consumer goods,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Eleanor Butt Crook & family,1067,2800,90,F,United States,Texas,San Marcos,Fashion & Retail,FALSE,NA,Supermarkets,N,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Du Jiangtao & family,1067,2800,53,M,China,NA,Beijing,Manufacturing,TRUE,NA,Chemicals,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Lorenzo Fertitta,1067,2800,54,M,United States,Nevada,Las Vegas,Sports,FALSE,NA,"Casinos, mixed martial arts",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Sebastian Glaser,1067,2800,NA,M,Germany,NA,Munich,Technology,FALSE,NA,Sensor technology,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Adi Godrej,1067,2800,81,M,India,NA,Mumbai,Diversified,FALSE,NA,Consumer goods,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Jamshyd Godrej,1067,2800,74,M,India,NA,Mumbai,Diversified,FALSE,NA,Diversified,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Lee Yeow Chor,1067,2800,56,M,Malaysia,NA,NA,Real Estate,FALSE,NA,"Palm oil, property",Split Family Fortune,127.2121313,4.157640399999991,407606000000,33821000000,97.75549313,97.75549313,76.26,34695493,3.93,4.210484,101.975766
Li Weiguo,1067,2800,58,M,China,NA,Beijing,Manufacturing,TRUE,NA,Construction materials,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Dmitry Mazepin,1067,2800,54,M,Russia,NA,Moscow,Manufacturing,TRUE,NA,Chemicals,R,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
"Drayton McLane, Jr.",1067,2800,86,M,United States,Texas,Temple,Fashion & Retail,FALSE,NA,"Walmart, logistics",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Najib Mikati,1067,2800,67,M,Lebanon,NA,Beirut,Telecom,TRUE,NA,Telecom,D,1660.740427,1048.385412,20992421949,-2139519608,NA,NA,74.416,5744489,11.6,33.854721,35.862285
Taha Mikati,1067,2800,78,M,Lebanon,NA,Beirut,Telecom,TRUE,NA,Telecom,D,1660.740427,1048.385412,20992421949,-2139519608,NA,NA,74.416,5744489,11.6,33.854721,35.862285
Akira Mori & family,1067,2800,86,M,Japan,NA,Tokyo,Real Estate,FALSE,NA,Real estate,D,107.8396906,2.627878299999992,4256410000000,-778210000000,102.1587067,102.1587067,83.99634146,125124989,2.6,36.204824,138.252924
Rishad Naoroji,1067,2800,71,M,India,NA,Mumbai,Diversified,FALSE,NA,Consumer goods,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Philip Niarchos,1067,2800,69,M,France,NA,Paris,Diversified,FALSE,NA,Art collection,E,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Nandan Nilekani,1067,2800,67,M,India,NA,Bangalore,Technology,TRUE,NA,Software services,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Benjamin Otto,1067,2800,NA,M,Germany,NA,Hamburg,Fashion & Retail,FALSE,NA,Retail,D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Maren Otto,1067,2800,NA,F,Germany,NA,Berlin,Diversified,FALSE,NA,"Retail, real estate",D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Ranjan Pai,1067,2800,50,M,India,NA,Bangalore,Service,FALSE,NA,Education,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Madhukar Parekh,1067,2800,76,M,India,NA,Mumbai,Manufacturing,FALSE,NA,Adhesives,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Sean Parker,1067,2800,43,M,United States,California,Los Angeles,Technology,TRUE,NA,Facebook,E,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Stewart Rahr,1067,2800,77,M,United States,New York,New York,Healthcare,FALSE,NA,Drug distribution,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Su Hua,1067,2800,41,M,China,NA,Beijing,Media & Entertainment,TRUE,NA,Video streaming,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Sun Shoukuan,1067,2800,73,M,China,NA,Yingkou,Manufacturing,TRUE,NA,"Metals, coal",E,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Tseng Cheng,1067,2800,61,M,Taiwan,NA,NA,Manufacturing,FALSE,NA,Petrochemicals,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69781,120.960515
Tung Chee Hwa,1067,2800,85,M,Hong Kong,NA,Hong Kong,Logistics,FALSE,NA,Shipping,E,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Meg Whitman,1067,2800,66,F,United States,California,Los Angeles,Technology,TRUE,CEO,EBay,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Wong Luen Hei,1067,2800,61,M,Hong Kong,NA,Hong Kong,Manufacturing,TRUE,NA,Building materials,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Chenghai Ye & family,1067,2800,79,M,Hong Kong,NA,Hong Kong,Healthcare,TRUE,NA,Pharmaceuticals,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Zhu Xingming,1067,2800,56,M,China,NA,Shenzhen,Manufacturing,TRUE,NA,Electrical equipment,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Jose Joao Abdalla Filho,1104,2700,77,M,Brazil,NA,Rio de Janeiro,Finance & Investments,FALSE,NA,Investments,D,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Juan Abello,1104,2700,81,M,Spain,NA,Madrid,Finance & Investments,FALSE,NA,Investments,D,123.5917283,9.567306200000004,1446500000000,-14740000000,102.4459915,102.4459915,83.08292683,47759127,12.917,40.463667,-3.74922
Suhail Bahwan,1104,2700,84,M,Oman,NA,Muscat,Diversified,TRUE,NA,Diversified,U,118.2710782,2.8915747000000067,111944000000,24620202861,90.09680939,90.09680939,73.935,4730226,3.3,21.512583,55.923255
Madhur Bajaj,1104,2700,70,M,India,NA,Mumbai,Diversified,FALSE,NA,Diversified,Split Family Fortune,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Niraj Bajaj,1104,2700,68,M,India,NA,Mumbai,Diversified,FALSE,NA,Diversified,Split Family Fortune,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Shekhar Bajaj,1104,2700,74,M,India,NA,Mumbai,Diversified,FALSE,NA,Diversified,Split Family Fortune,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Harindarpal Banga,1104,2700,72,M,Hong Kong,NA,Hong Kong,Finance & Investments,TRUE,NA,Commodities,U,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Ulrike Baro,1104,2700,NA,F,Germany,NA,Munich,Healthcare,FALSE,NA,Biopharmaceuticals,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Anne Beaufour,1104,2700,59,F,United Kingdom,NA,NA,Healthcare,FALSE,NA,Pharmaceuticals,U,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Henri Beaufour,1104,2700,57,M,United Kingdom,NA,London,Healthcare,FALSE,NA,Pharmaceuticals,U,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Andrei Bokarev,1104,2700,56,M,Russia,NA,Moscow,Manufacturing,TRUE,NA,"Metals, mining",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Jack Cowin,1104,2700,80,M,Australia,NA,Sydney,Food & Beverage,TRUE,NA,Fast food,D,132.4661811,8.194588999999993,1690860000000,134120000000,99.13298798,99.13298798,83.2,26014399,3.728,-25.274398,133.775136
Glenn Dubin,1104,2700,65,M,United States,New York,New York,Finance & Investments,TRUE,NA,Hedge funds,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
N. Murray Edwards,1104,2700,63,M,United Kingdom,NA,London,Energy,TRUE,NA,Oil & gas,D,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
"Frank Fertitta, III.",1104,2700,61,M,United States,Nevada,Las Vegas,Sports,FALSE,NA,"Casinos, mixed martial arts",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Abhay Firodia,1104,2700,78,M,India,NA,Pune,Automotive,FALSE,NA,Automobiles,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Bruce Flatt,1104,2700,57,M,United Kingdom,NA,London,Finance & Investments,TRUE,Investor,Money management,D,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Miguel Fluxa Rossello,1104,2700,84,M,Spain,NA,Esporles,Service,FALSE,NA,Hotels,D,123.5917283,9.567306200000004,1446500000000,-14740000000,102.4459915,102.4459915,83.08292683,47759127,12.917,40.463667,-3.74922
Robert Friedland,1104,2700,72,M,Singapore,NA,Singapore,Metals & Mining,TRUE,Founder and Executive Chairman,Mining,U,123.9809781,7.151219600000005,498475000000,64363000000,99.57804108,99.57804108,82.89512195,5637022,3.591,1.352083,103.819836
Alexander Frolov,1104,2700,58,M,Russia,NA,Moscow,Metals & Mining,TRUE,NA,"Mining, steel",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Nadir Godrej,1104,2700,72,M,India,NA,Mumbai,Diversified,FALSE,NA,Consumer goods,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Maggie Hardy,1104,2700,57,F,United States,Pennsylvania,Belle Vernon,Service,FALSE,NA,Building materials,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Nithin Kamath,1104,2700,43,M,India,NA,Bangalore,Finance & Investments,TRUE,NA,Financial services,N,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Samvel Karapetyan,1104,2700,57,M,Russia,NA,Moscow,Construction & Engineering,TRUE,NA,Real estate,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Kei Hoi Pang,1104,2700,57,M,Hong Kong,NA,Hong Kong,Real Estate,TRUE,NA,Real estate,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Mustafa Rahmi Koc,1104,2700,92,M,Turkey,NA,Istanbul,Diversified,FALSE,NA,Diversified,U,542.4388079,227.63266070000003,907118000000,87253000000,102.4877014,102.4877014,78.475,84979913,10.465,38.963745,35.243322
Yuri Kovalchuk & family,1104,2700,71,M,Russia,NA,St. Petersburg,Finance & Investments,TRUE,NA,"Banking, insurance, media",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Geoffrey Kwok,1104,2700,37,M,Hong Kong,NA,Hong Kong,Real Estate,FALSE,NA,Real estate,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Jonathan Kwok,1104,2700,31,M,Hong Kong,NA,Hong Kong,Real Estate,FALSE,NA,Real Estate,U,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Hans Langer,1104,2700,71,M,Germany,NA,Gräfelfing,Manufacturing,TRUE,NA,3D printing,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Frank Laukien,1104,2700,63,M,United States,Massachusetts,Boston,Manufacturing,FALSE,NA,Scientific equipment,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Maritsa Lazari & family,1104,2700,78,F,United Kingdom,NA,London,Real Estate,TRUE,NA,Real estate,D,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Angela Leong,1104,2700,62,F,Hong Kong,NA,Hong Kong,Real Estate,FALSE,NA,Casinos,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Li Zhongchu,1104,2700,59,M,China,NA,Beijing,Technology,TRUE,NA,Software,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Liang Yunchao,1104,2700,54,M,China,NA,Guangzhou,Food & Beverage,TRUE,NA,Nutritional supplements,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Vincent McMahon,1104,2700,77,M,United States,Connecticut,Greenwich,Sports,TRUE,NA,Entertainment,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Patrice Motsepe,1104,2700,61,M,South Africa,NA,Johannesburg,Metals & Mining,TRUE,NA,Mining,D,183.6827445,12.080340200000023,406920000000,-13967000000,96.10272217,96.10272217,61.48,62378410,33.268,-30.559482,22.937506
Denis O'Brien,1104,2700,64,M,Ireland,NA,Dublin,Telecom,TRUE,NA,Telecom,D,117.21087,8.510638299999997,548570000000,17263000000,99.61994171,99.61994171,83.05609756,5165700,4.501,53.41291,-8.24389
Timm Oberwelland,1104,2700,NA,M,NA,NA,NA,Food & Beverage,FALSE,NA,Candy,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Olsson,1104,2700,76,M,Sweden,NA,Gothenburg,Diversified,FALSE,NA,Diversified,E,122.9571834,9.495904600000003,579896000000,-57291000000,116.4253922,116.4253922,83.1097561,10486941,7.392,60.128161,18.643501
Yuji Otsuka,1104,2700,69,M,Japan,NA,Tokyo,Technology,FALSE,NA,"Copy machines, software",U,107.8396906,2.627878299999992,4256410000000,-778210000000,102.1587067,102.1587067,83.99634146,125124989,2.6,36.204824,138.252924
Pan Dong,1104,2700,58,F,Hong Kong,NA,Hong Kong,Fashion & Retail,TRUE,NA,Consumer goods,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Karsanbhai Patel,1104,2700,79,M,India,NA,Ahmedabad,Diversified,TRUE,NA,Consumer goods,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Richard Peery,1104,2700,84,M,United States,California,Palo Alto,Real Estate,TRUE,NA,Real estate,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Gianfelice Rocca,1104,2700,75,M,NA,NA,NA,Metals & Mining,FALSE,NA,Pipe Manufacturing,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paolo Rocca,1104,2700,70,M,NA,NA,NA,Metals & Mining,FALSE,NA,Pipe Manufacturing,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne Rothbaum,1104,2700,55,M,United States,Florida,Delray Beach,Healthcare,TRUE,Investor,Biotech investing,N,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jeff Rothschild,1104,2700,68,M,United States,California,Palo Alto,Technology,TRUE,Advisor,Facebook,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Raj Sardana,1104,2700,63,M,United States,Georgia,Atlanta,Technology,TRUE,NA,Technology services,N,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Christiane Schoeller,1104,2700,NA,F,NA,NA,NA,Media & Entertainment,FALSE,NA,Publishing,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salil Singhal,1104,2700,75,M,India,NA,Delhi,Manufacturing,FALSE,NA,Agrochemicals,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Alexander Skorobogatko,1104,2700,55,M,Russia,NA,Moscow,Logistics,TRUE,NA,"Real estate, airport",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Evan Spiegel,1104,2700,32,M,United States,California,Los Angeles,Technology,TRUE,Cofounder,Snapchat,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Glen Taylor,1104,2700,81,M,United States,Minnesota,Mankato,Service,TRUE,NA,Printing,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Thomas Tull,1104,2700,52,M,United States,Pennsylvania,Pittsburgh,Media & Entertainment,TRUE,NA,"Movies, investments",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Bulat Utemuratov,1104,2700,65,M,Kazakhstan,NA,Nur-Sultan,Metals & Mining,TRUE,NA,"Mining, banking, hotels",D,251.0664098,32.80067819999999,225496000000,28384000000,100.9112638,100.9112638,74.44,20034609,4.86,48.019573,66.923684
Gustav Magnar Witzoe,1104,2700,29,M,Norway,NA,Kverva,Food & Beverage,FALSE,NA,Fish farming,D,133.3273007,7.266310699999991,593727000000,90359000000,98.96675873,98.96675873,82.56097561,5457127,3.231,60.472024,8.468946
Wong Man Li,1104,2700,58,M,Hong Kong,NA,Hong Kong,Manufacturing,TRUE,NA,Furniture,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Guangming Wu,1104,2700,61,M,China,NA,Danyang,Healthcare,TRUE,NA,Medical equipment,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Zhu Yi,1104,2700,59,M,China,NA,Chengdu,Healthcare,TRUE,NA,Pharmaceuticals,N,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Ben Ashkenazy,1164,2600,53,M,United States,New York,New York,Real Estate,TRUE,NA,Real estate,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Felix Baker,1164,2600,54,M,United States,New York,New York,Finance & Investments,TRUE,NA,Biotech investing,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Julian Baker,1164,2600,56,M,United States,New York,New York,Finance & Investments,TRUE,NA,Investing,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
David Baszucki,1164,2600,60,M,United States,California,San Francisco,Media & Entertainment,TRUE,NA,Online games,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Joesley Batista,1164,2600,51,M,Brazil,NA,Sao Paulo,Food & Beverage,FALSE,NA,Beef processing,D,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Wesley Batista,1164,2600,50,M,Brazil,NA,Sao Paulo,Food & Beverage,FALSE,NA,Beef packing,D,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Yvonne Bauer,1164,2600,46,F,Germany,NA,Hamburg,Media & Entertainment,FALSE,NA,"Magazines, media",D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Miriam Baumann-Blocher,1164,2600,48,F,Switzerland,NA,Rheinfelden,Manufacturing,FALSE,NA,Chemicals,D,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Cen Junda,1164,2600,58,M,China,NA,Lianyungang,Healthcare,TRUE,NA,Pharmaceuticals,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Richard Chandler,1164,2600,64,M,Singapore,NA,Singapore,Finance & Investments,FALSE,NA,Investments,U,123.9809781,7.151219600000005,498475000000,64363000000,99.57804108,99.57804108,82.89512195,5637022,3.591,1.352083,103.819836
Chen Zhiping,1164,2600,47,M,China,NA,Shenzhen,Manufacturing,TRUE,NA,E-cigarettes,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
